OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025CQ,2026-08-16T23:06:25.679808,14.00496785,.01038853,99.2941,301.7262,316.8548,219.4655,0,U,29798,999,99384,.56742812E-3,.835E-5,0
FENGYUN 1C DEB,1999-025CS,2026-08-16T23:23:36.288384,13.99835582,.01291484,98.2820,232.1531,251.1655,136.4638,0,U,29800,999,99034,.82871953E-3,.1267E-4,0
FENGYUN 1C DEB,1999-025CT,2026-08-16T15:57:51.954624,14.36124788,.01023264,98.7787,139.5299,258.6306,165.1719,0,U,29801,999,2484,.74977187E-4,.183E-5,0
FENGYUN 1C DEB,1999-025CU,2026-08-16T08:34:18.503040,14.69211874,.00313556,98.6317,354.8430,290.1039,133.4815,0,U,29802,999,2085,.11380754E-2,.6702E-4,0
FENGYUN 1C DEB,1999-025CW,2026-08-16T13:13:14.514816,14.04381148,.00974691,98.8041,234.2896,330.9851,151.7965,0,U,29804,999,353,.10642281E-3,.133E-5,0
FENGYUN 1C DEB,1999-025CX,2026-08-16T03:05:14.868384,13.72728067,.01874501,99.4216,280.8095,308.3958,50.0483,0,U,29805,999,98083,.82835141E-4,.41E-6,0
FENGYUN 1C DEB,1999-025CY,2026-08-16T00:04:03.954720,14.12432110,.00270715,98.7030,241.7766,272.3385,116.4884,0,U,29806,999,611,.24510746E-3,.411E-5,0
FENGYUN 1C DEB,1999-025CZ,2026-08-16T14:13:19.138368,14.08850950,.00797556,98.7579,231.1768,355.0202,5.0166,0,U,29807,999,566,.13436227E-3,.196E-5,0
FENGYUN 1C DEB,1999-025DB,2026-08-16T22:37:02.361216,14.47069937,.01148241,98.8886,209.3544,329.4741,52.9444,0,U,29809,999,3042,.12777818E-3,.45E-5,0
FENGYUN 1C DEB,1999-025DC,2026-08-16T02:57:12.040992,14.29437000,.00667161,99.1757,283.2667,28.4987,0.0292,0,U,29810,999,1894,.10485322E-3,.225E-5,0
FENGYUN 1C DEB,1999-025DE,2026-08-16T10:31:23.615328,14.02822161,.01425467,98.3601,42.0020,350.7156,38.0175,0,U,29812,999,99630,.38763104E-3,.617E-5,0
FENGYUN 1C DEB,1999-025DF,2026-08-16T19:15:16.416576,14.09516961,.00114153,98.7132,245.8632,243.9322,292.1346,0,U,29813,999,740,.89799556E-4,.114E-5,0
FENGYUN 1C DEB,1999-025DH,2026-08-16T22:44:38.648256,14.65573748,.01796329,98.0527,237.4282,75.2220,286.8810,0,U,29815,999,3470,.35419712E-3,.2386E-4,0
