OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036CX,2026-08-16T16:07:48.061056,13.21906593,.05692749,73.7686,326.9171,211.2781,145.3257,0,U,33894,999,83970,.18835986E-2,.1819E-4,0
COSMOS 2251 DEB,1993-036CZ,2026-08-16T16:50:37.227264,14.19670609,.0124718,73.7653,68.0442,202.3963,234.9531,0,U,33896,999,90244,.2750848E-3,.601E-5,0
COSMOS 2251 DEB,1993-036DC,2026-08-16T17:54:42.010848,14.62902238,.00571286,74.0538,333.2014,330.7457,180.9162,0,U,33899,999,92449,.25196914E-3,.1287E-4,0
COSMOS 2251 DEB,1993-036DD,2026-08-16T11:06:47.257344,14.59228619,.00485931,74.0153,249.3986,336.6253,93.1654,0,U,33900,999,92634,.16729611E-3,.771E-5,0
COSMOS 2251 DEB,1993-036DJ,2026-08-16T17:36:55.505664,14.36168398,.00550451,73.8839,219.1635,54.4269,119.4700,0,U,33905,999,91232,.28886302E-3,.83E-5,0
COSMOS 2251 DEB,1993-036DK,2026-08-16T23:21:44.205984,14.60498416,.00342273,74.0272,210.1596,191.7669,195.9498,0,U,33906,999,91614,.77925531E-3,.3783E-4,0
COSMOS 2251 DEB,1993-036DL,2026-08-16T15:20:58.079040,14.33160431,.01167404,74.0684,304.0607,300.2117,211.0795,0,U,33907,999,90114,.92455583E-3,.2712E-4,0
COSMOS 2251 DEB,1993-036DM,2026-08-16T16:56:10.429728,14.09017299,.02183216,73.8364,126.8139,105.9719,256.5589,0,U,33908,999,88950,.70711679E-3,.1502E-4,0
COSMOS 2251 DEB,1993-036DQ,2026-08-16T21:38:01.078368,14.80624728,.00101327,74.0894,38.0195,262.7793,247.5897,0,U,33911,999,92296,.85539857E-3,.6546E-4,0
COSMOS 2251 DEB,1993-036DR,2026-08-16T16:37:17.909760,14.53221468,.00106558,74.0319,83.9377,107.1822,316.6040,0,U,33912,999,92019,.30644892E-3,.1243E-4,0
COSMOS 2251 DEB,1993-036DS,2026-08-16T00:13:02.410752,14.49344088,.00469113,74.0321,81.8666,124.3864,34.2855,0,U,33913,999,92024,.2288112E-3,.858E-5,0
COSMOS 2251 DEB,1993-036DT,2026-08-16T16:04:09.937344,13.72265085,.03040078,74.0918,328.0075,13.3653,96.3738,0,U,33914,999,87468,.1142519E-3,.123E-5,0
