OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1301,2020-019B,2026-08-16T22:03:00.804384,16.03744936,.00054907,53.0269,20.9048,278.4195,81.6214,0,U,45361,999,35592,.81145552E-3,.528597E-2,.140317E-3
STARLINK-1262,2020-019G,2026-08-16T00:31:49.608480,15.39589329,.00037068,53.1512,141.2063,58.7834,301.3534,0,U,45366,999,35420,.64626066E-3,.25514E-3,0
STARLINK-1273,2020-019H,2026-08-15T22:11:56.338368,15.65899338,.00026334,53.0385,104.0866,96.0129,264.1186,0,U,45367,999,35468,.32667715E-3,.33463E-3,0
STARLINK-1276,2020-019J,2026-08-16T02:32:33.943488,15.17235389,.00022143,53.0727,162.8050,69.5128,290.6104,0,U,45368,999,35388,.87741774E-3,.17396E-3,0
STARLINK-1277,2020-019K,2026-08-16T00:28:12.965664,15.74528586,.00024013,53.0380,93.4039,133.9347,226.1870,0,U,45369,999,35484,.34226379E-3,.50551E-3,0
STARLINK-1281,2020-019L,2026-08-16T18:34:36.546240,15.40532644,.00024452,53.1529,136.8889,37.4363,322.6812,0,U,45370,999,35433,.71991036E-3,.29388E-3,0
STARLINK-1300,2020-019Q,2026-08-16T18:09:02.182464,15.41402694,.00026802,53.1542,136.5592,45.4799,314.6426,0,U,45374,999,35433,.55287486E-3,.23122E-3,0
STARLINK-1302,2020-019R,2026-08-16T21:02:47.376672,15.74455658,.00007715,53.0410,84.9345,315.1583,44.9373,0,U,45375,999,35503,.33664568E-3,.49542E-3,0
STARLINK-1304,2020-019S,2026-08-16T21:03:40.518720,15.70166251,.00007502,53.0379,88.4060,70.4682,289.6415,0,U,45376,999,35498,.32312048E-3,.39497E-3,0
STARLINK-1305,2020-019T,2026-08-16T16:53:50.108352,15.83793161,.00020978,53.0337,62.6290,156.2338,203.8781,0,U,45377,999,35533,.40855513E-3,.9272E-3,0
STARLINK-1319,2020-019V,2026-08-17T00:00:02.000160,15.93432778,.00032014,53.0300,48.6996,279.2697,354.9932,0,U,45379,999,603,.58298445E-3,.210345E-2,.27960454E-4
STARLINK-1266,2020-019Z,2026-08-16T20:19:36.075648,15.72484532,.0003269,53.0413,72.2649,123.1753,236.9578,0,U,45383,999,35520,.34048936E-3,.46005E-3,0
STARLINK-1267,2020-019AA,2026-08-16T19:59:21.053184,15.78464598,.00013572,53.0413,61.5494,224.3416,135.7496,0,U,45384,999,35535,.42477181E-3,.75122E-3,0
